18:06:48.896 WindowManager                  trimMemory level: 15
18:06:49.696 Hwaps                          APS: EventAnalyzed: initAPS: version is 11.0.0.4
18:06:49.696                                Fpsrequest create,type:EXACTLY_IDENTIFY
18:06:49.696                                Fpsrequest create,type:EXACTLY_IDENTIFY
18:06:49.696                                Fpsrequest create,type:OPENGL_SETTING
18:06:49.696                                FpsController create
18:06:49.699                                APS: EventAnalyzed: reInitFpsPara :mBaseFps = 120; mMaxFps = 120
18:06:49.701 HwViewRootImpl                 Add sceneId 11 topId: 10
18:06:49.705 HwDragEnhancementImpl          handleTimerDrag: false
18:06:49.713                                Start long press for hw drag enhancement.
18:06:49.721 HwApsManager                   HwApsManagerService, registerCallback, start !
18:06:49.722 Hwaps                          APS: EventAnalyzed: registerCallbackInApsManagerService, mPkgName:com.compressphotofast; result = true
18:06:49.723 HwViewRootImpl                 [DetectViewsLocationRunner] current resolutionScale: 0.7
18:06:49.723                                remove sceneId 11 topId: 10
18:06:49.726 WebViewDragEnhancement         dragReset.
18:06:49.726                                dragReset cacheSize = 0
18:06:49.743 LogUtil                        [ПРОЦЕСС] Автоматическое сжатие: включено
18:06:49.743                                [ПРОЦЕСС] setupBackgroundService: автоматическое сжатие включено
18:06:49.745                                [ПРОЦЕСС] ImageDetectionJobService: начало планирования задания
18:06:49.745                                [ПРОЦЕСС] ImageDetectionJobService: состояние автоматического сжатия: включено
18:06:49.750                                [ПРОЦЕСС] ImageDetectionJobService: создан триггер для MediaStore
18:06:49.750                                [ПРОЦЕСС] ImageDetectionJobService: создан JobInfo с параметрами: maxDelay=15000, updateDelay=0
18:06:49.751                                [ПРОЦЕСС] ImageDetectionJobService: задание успешно запланировано
18:06:49.751                                [ПРОЦЕСС] setupBackgroundService: JobService запланирован
18:06:49.751                                [ПРОЦЕСС] setupBackgroundService: запуск как foreground сервис (Android O+)
18:06:49.751 StubController                 system app validUid:10734, isFriend:true
18:06:49.753 LogUtil                        [ПРОЦЕСС] Фоновые сервисы запущены успешно
18:06:49.754 AudioManager                   querySoundEffectsEnabled...
18:06:49.756                                querySoundEffectsEnabled fail id: 0
18:06:49.786 HwViewRootImpl                 removeInvalidNode all the node in jank list is out of time
18:06:49.815 LogUtil                        [ПРОЦЕСС] MediaStoreObserver: ContentObserver зарегистрирован для MediaStore.Images.Media.EXTERNAL_CONTENT_URI
18:06:50.275 CompatibilityChangeReporter    Compat change id reported: 150939131; UID 10734; state: ENABLED
18:06:50.317 LogUtil                        [ПРОЦЕСС] Найдено 8 фото за 15 мин
18:06:50.317                                [ПРОЦЕСС] Маленький файл: IMG_20260419_180631_2.jpg (0 B)
18:06:50.317                                [ПРОЦЕСС] Маленький файл: IMG_20260419_180632.jpg (0 B)
18:06:50.318                                [ПРОЦЕСС] Предзагрузка метаданных для 6 URI
18:06:50.413                                [ПРОЦЕСС] Найдено 8 фото за 15 мин
18:06:50.413                                [ПРОЦЕСС] Маленький файл: IMG_20260419_180631_2.jpg (0 B)
18:06:50.413                                [ПРОЦЕСС] Маленький файл: IMG_20260419_180632.jpg (0 B)
18:06:50.413                                [ПРОЦЕСС] Предзагрузка метаданных для 6 URI
18:06:50.462                                [ПРОЦЕСС] Найдено 200 фото за 2880 мин
18:06:50.463                                [ПРОЦЕСС] Маленький файл: IMG_20260419_180631_2.jpg (0 B)
18:06:50.463                                [ПРОЦЕСС] Маленький файл: IMG_20260419_180632.jpg (0 B)
18:06:50.469                                [ПРОЦЕСС] Предзагрузка метаданных для 198 URI
18:06:50.525 HwViewRootImpl                 [DetectViewsLocationRunner] start to get views' rect, type = SCENE_GESTURE_SINGLE_TAP
18:06:50.525                                [DetectViewsLocationRunner] windowModeType: 1
18:06:50.525                                [DetectViewsLocationRunner] displayPoint: Point(854, 1890)
18:06:50.525                                [DetectViewsLocationRunner] windowModeType: 1
